id,product_id,title,brand,category,subcategory,description,image,slug,variations,offers,is_active,keyspecs,timestamp,origin,images
1,PRDCT1,test product 1,7,1,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test.jpg,,"31,32,33",,1,"2,4,5",,IN,"10,11,12,13,14,"
2,PRDCT2,test product 2,97,1,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_31KTRso.jpg,,"34,35,36",1,1,"2,4,5",,IN,"15,16,17,18,19,"
3,PRDCT3,test product 3,43,1,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_qRkvR6t.jpg,,"37,38,39",,1,"2,4,5",,IN,"20,21,22,23,24,"
4,PRDCT4,test product 4,69,1,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_fBPlGwn.jpg,,"40,41,42",14,1,"2,4,5",,IN,"25,26,27,28,29,"
5,PRDCT5,test product 5,79,1,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_7fr8juG.jpg,,"43,44,45",,1,"2,4,5",,IN,"15,16,17,18,19,"
6,PRDCT6,test product 6,13,1,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test.webp,,"46,47,48",6,1,"2,4,5",,IN,"20,21,22,23,24,"
7,PRDCT7,test product 7,80,1,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_bNKGkSY.webp,,"49,50,51",,1,"2,4,5",,IN,"25,26,27,28,29,"
8,PRDCT8,test product 8,17,1,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_JAWzTel.webp,,"52,53,54",18,1,"2,4,5",,IN,"15,16,17,18,19,"
9,PRDCT9,test product 9,70,1,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_cyHq7Qh.webp,,"55,56,57",,1,"2,4,5",,IN,"20,21,22,23,24,"
10,PRDCT10,test product 10,48,1,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_VtlklVW.webp,,"58,59,60",3,1,"2,4,5",,IN,"25,26,27,28,29,"
11,PRDCT11,test product 11,68,1,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_XTWljcQ.jpg,,"61,62,63",,1,"2,4,5",,IN,"15,16,17,18,19,"
12,PRDCT12,test product 12,26,1,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_13lxXId.jpg,,"64,65,66",8,1,"2,4,5",,IN,"20,21,22,23,24,"
